W'(d) 零点比例系数计算结果
============================================================
k 范围: -9999 到 10000 (共 20000 项)
采样点数: 100
比例系数 α = 0.5153134683
拟合优度 R² = 0.9999999947

详细数据:
           c             d_实测             d_拟合          相对误差(%)
----------------------------------------------------------------
    0.010000       0.00515314       0.00515313        0.000009
   10.110909       5.21028808       5.21028763        0.000009
   20.211818      10.41542268      10.41542213        0.000005
   30.312727      15.62055683      15.62055662        0.000001
   40.413636      20.82569432      20.82569112        0.000015
   50.514545      26.03082609      26.03082562        0.000002
   60.615455      31.23595047      31.23596011        0.000031
   70.716364      36.44110489      36.44109461        0.000028
   80.817273      41.64620399      41.64622910        0.000060
   90.918182      46.85136318      46.85136360        0.000001
  101.019091      52.05652237      52.05649810        0.000047
  111.120000      57.26162148      57.26163259        0.000019
  121.220909      62.46672058      62.46676709        0.000074
  131.321818      67.67180252      67.67190158        0.000146
  141.422727      72.87691116      72.87703608        0.000171
  151.523636      78.08201981      78.08217058        0.000193
  161.624545      83.28712845      83.28730507        0.000212
  171.725455      88.49272156      88.49243957        0.000319
  181.826364      93.69783020      93.69757406        0.000273
  191.927273      98.90293884      98.90270856        0.000233
  202.028182     104.10804749     104.10784306        0.000196
  212.129091     109.31315613     109.31297755        0.000163
  222.230000     114.51826477     114.51811205        0.000133
  232.330909     119.72337341     119.72324655        0.000106
  242.431818     124.92848206     124.92838104        0.000081
  252.532727     130.13421631     130.13351554        0.000538
  262.633636     135.33841705     135.33865003        0.000172
  272.734545     140.54456329     140.54378453        0.000554
  282.835455     145.74876404     145.74891903        0.000106
  292.936364     150.95491028     150.95405352        0.000568
  303.037273     156.15911102     156.15918802        0.000049
  313.138182     161.36331177     161.36432251        0.000626
  323.239091     166.56945801     166.56945701        0.000001
  333.340000     171.77560425     171.77459151        0.000590
  343.440909     176.98175049     176.97972600        0.001144
  353.541818     182.18400574     182.18486050        0.000469
  363.642727     187.39015198     187.38999500        0.000084
  373.743636     192.59240723     192.59512949        0.001413
  383.844545     197.79855347     197.80026399        0.000865
  393.945455     203.00469971     203.00539848        0.000344
  404.046364     208.21084595     208.21053298        0.000150
  414.147273     213.41699219     213.41566748        0.000621
  424.248182     218.62313843     218.62080197        0.001069
  434.349091     223.82928467     223.82593647        0.001496
  444.450000     229.02764893     229.03107096        0.001494
  454.550909     234.23379517     234.23620546        0.001029
  464.651818     239.43994141     239.44133996        0.000584
  474.752727     244.64608765     244.64647445        0.000158
  484.853636     249.85223389     249.85160895        0.000250
  494.954545     255.05059814     255.05674344        0.002409
  505.055455     260.25827026     260.26187794        0.001386
  515.156364     265.46682739     265.46701244        0.000070
  525.257273     270.67538452     270.67214693        0.001196
  535.358182     275.88394165     275.87728143        0.002414
  545.459091     281.07690430     281.08241593        0.001961
  555.560000     286.28546143     286.28755042        0.000730
  565.660909     291.49401855     291.49268492        0.000458
  575.761818     296.70257568     296.69781941        0.001603
  585.862727     301.91113281     301.90295391        0.002709
  595.963636     307.11968994     307.10808841        0.003778
  606.064545     312.31265259     312.31322290        0.000183
  616.165455     317.50561523     317.51835740        0.004013
  626.266364     322.71417236     322.72349189        0.002888
  636.367273     327.92272949     327.92862639        0.001798
  646.468182     333.13128662     333.13376089        0.000743
  656.569091     338.33984375     338.33889538        0.000280
  666.670000     343.54840088     343.54402988        0.001272
  676.770909     348.75695801     348.74916437        0.002235
  686.871818     353.96551514     353.95429887        0.003169
  696.972727     359.17407227     359.15943337        0.004076
  707.073636     364.35144043     364.36456786        0.003603
  717.174545     369.55999756     369.56970236        0.002626
  727.275455     374.76855469     374.77483686        0.001676
  737.376364     379.97711182     379.97997135        0.000753
  747.477273     385.18566895     385.18510585        0.000146
  757.578182     390.39422607     390.39024034        0.001021
  767.679091     395.60278320     395.59537484        0.001873
  777.780000     400.78015137     400.80050934        0.005080
  787.880909     406.01989746     406.00564383        0.003511
  797.981818     411.19726562     411.21077833        0.003286
  808.082727     416.43701172     416.41591282        0.005067
  818.183636     421.61437988     421.62104732        0.001581
  828.284545     426.85412598     426.82618182        0.006547
  838.385455     432.03149414     432.03131631        0.000041
  848.486364     437.20886230     437.23645081        0.006310
  858.587273     442.44860840     442.44158531        0.001587
  868.688182     447.62597656     447.64671980        0.004634
  878.789091     452.86572266     452.85185430        0.003062
  888.890000     458.04309082     458.05698879        0.003034
  898.990909     463.28283691     463.26212329        0.004471
  909.091818     468.46020508     468.46725779        0.001506
  919.192727     473.69995117     473.67239228        0.005818
  929.293636     478.87731934     478.87752678        0.000043
  939.394545     484.05468750     484.08266127        0.005779
  949.495455     489.29443359     489.28779577        0.001357
  959.596364     494.53417969     494.49293027        0.008341
  969.697273     499.64916992     499.69806476        0.009786
  979.798182     504.88891602     504.90319926        0.002829
  989.899091     510.12866211     510.10833375        0.003985
 1000.000000     515.30975342     515.31346825        0.000721
